iter	RMSE
0	9681.039121
1	9308.720718
2	8957.544613
3	8641.263487
4	8308.423798
5	8004.081462
6	7713.617847
7	7437.694207
8	7168.190788
9	6920.603798
10	6670.416287
11	6458.691458
12	6257.893217
13	6034.378709
14	5840.628701
15	5649.402185
16	5507.46902
17	5323.755434
18	5179.257892
19	5033.969453
20	4893.4743
21	4751.086394
22	4608.101074
23	4473.843594
24	4337.886517
25	4214.724706
26	4101.502238
27	3990.388396
28	3890.999473
29	3790.299173
30	3689.91846
31	3600.334359
32	3512.55822
33	3441.738566
34	3358.43558
35	3288.724539
36	3217.386247
37	3144.606314
38	3083.41185
39	3022.642979
40	2954.104549
41	2895.138341
42	2844.929793
43	2791.223922
44	2748.436832
45	2690.934784
46	2641.905603
47	2593.343214
48	2556.862031
49	2520.240909
50	2483.814161
51	2438.307144
52	2391.595058
53	2362.813781
54	2338.381521
55	2304.009887
56	2268.904249
57	2231.75506
58	2207.227019
59	2176.774605
60	2143.551893
61	2117.453775
62	2094.007504
63	2075.555779
64	2058.489048
65	2037.030262
66	2015.637674
67	2000.942148
68	1980.810257
69	1964.574549
70	1948.495047
71	1931.642842
72	1920.839479
73	1907.602005
74	1897.121019
75	1880.809858
76	1878.259061
77	1866.131814
78	1843.901285
79	1822.409441
80	1809.230803
81	1794.963836
82	1792.717966
83	1782.270266
84	1765.358298
85	1757.83986
86	1745.357228
87	1735.028608
88	1718.59386
89	1700.724033
90	1693.010891
91	1682.190779
92	1671.663925
93	1662.726142
94	1659.203597
95	1655.241121
96	1648.173001
97	1639.530733
98	1628.490322
99	1613.689059
100	1602.404688
101	1586.715476
102	1574.653939
103	1565.590812
104	1558.929458
105	1546.763391
106	1540.118558
107	1536.567119
108	1527.826306
109	1525.115974
110	1521.046947
111	1513.63915
112	1505.331249
113	1498.360683
114	1488.810181
115	1482.642439
116	1479.156957
117	1473.9631
118	1470.597745
119	1461.985227
120	1456.286341
121	1449.335147
122	1446.469425
123	1436.425858
124	1425.81163
125	1421.094376
126	1417.744364
127	1409.808842
128	1401.574512
129	1395.277472
130	1385.220665
131	1378.823042
132	1372.48522
133	1366.992355
134	1362.394263
135	1356.020167
136	1347.699218
137	1340.029834
138	1332.525413
139	1329.976146
140	1325.903492
141	1319.430424
142	1313.471723
143	1309.469119
144	1301.394351
145	1296.316804
146	1292.777848
147	1290.271433
148	1285.759656
149	1284.405377
150	1280.286462
151	1273.760586
152	1271.595153
153	1268.243719
154	1264.452562
155	1258.994719
156	1256.587607
157	1254.108084
158	1245.647277
159	1240.786636
160	1238.913115
161	1233.042664
162	1231.377965
163	1226.233887
164	1222.546146
165	1221.7507
166	1219.206201
167	1217.189487
168	1212.624358
169	1211.65165
170	1209.648475
171	1208.131032
172	1204.530891
173	1203.556992
174	1201.937837
175	1200.279173
176	1198.421942
177	1197.21697
178	1196.644536
179	1195.117102
180	1192.961138
181	1191.08677
182	1189.779538
183	1184.031213
184	1182.970662
185	1182.349143
186	1181.89097
187	1179.360494
188	1177.295213
189	1172.930136
190	1171.964968
191	1167.881672
192	1164.301959
193	1160.398236
194	1159.496579
195	1154.922871
196	1151.91398
197	1148.417396
198	1147.694854
199	1146.983519
200	1146.195802
201	1142.666017
202	1138.795986
203	1138.122914
204	1134.966297
205	1131.777314
206	1131.315963
207	1130.611982
208	1129.263774
209	1128.587627
210	1125.902977
211	1125.68889
212	1125.037127
213	1124.639586
214	1119.258806
215	1116.260543
216	1113.30169
217	1112.628847
218	1108.835478
219	1105.454236
220	1102.729082
221	1102.172063
222	1101.252831
223	1100.733077
224	1097.978192
225	1097.185093
226	1095.707137
227	1094.972305
