iter	Passed	Remaining
0	2	2039
1	4	2490
2	7	2407
3	9	2431
4	11	2313
5	13	2187
6	14	2101
7	16	2027
8	17	1980
9	19	1932
10	20	1887
11	22	1865
12	24	1854
13	25	1826
14	27	1799
15	29	1784
16	30	1770
17	32	1750
18	33	1743
19	35	1732
20	37	1727
21	38	1720
22	40	1714
23	42	1710
24	43	1699
25	45	1690
26	46	1682
27	48	1683
28	50	1677
29	51	1670
30	53	1665
31	55	1667
32	56	1663
33	58	1659
34	59	1652
35	61	1654
36	63	1647
37	65	1646
38	66	1641
39	68	1637
40	69	1634
41	71	1631
42	73	1627
43	74	1624
44	76	1620
45	77	1616
46	79	1613
47	81	1615
48	83	1611
49	84	1609
50	86	1606
51	88	1605
52	89	1603
53	91	1600
54	92	1596
55	94	1595
56	96	1592
57	97	1589
58	99	1585
59	101	1584
60	102	1582
61	104	1579
62	105	1575
63	107	1574
64	109	1571
65	110	1569
66	112	1566
67	114	1565
68	115	1562
69	117	1560
70	119	1558
71	120	1556
72	122	1554
73	124	1552
74	125	1549
75	127	1548
76	128	1535
77	129	1535
78	131	1534
79	133	1533
80	135	1532
81	136	1530
82	137	1517
83	139	1515
84	140	1515
85	142	1512
86	143	1510
87	145	1508
88	147	1507
89	148	1504
90	150	1502
91	152	1500
92	153	1500
93	155	1498
94	157	1496
95	158	1495
96	160	1494
97	162	1493
98	163	1491
99	165	1490
100	167	1490
101	169	1488
102	170	1486
103	172	1485
104	174	1484
105	176	1484
106	177	1483
107	179	1482
108	181	1483
109	182	1477
110	184	1476
111	186	1476
112	187	1475
113	189	1474
114	191	1472
115	193	1471
116	194	1470
117	196	1468
118	198	1467
119	199	1466
120	201	1464
121	203	1462
122	204	1461
123	206	1459
124	208	1458
125	209	1456
126	211	1455
127	213	1455
128	215	1455
129	217	1455
130	219	1456
131	221	1455
132	223	1454
133	224	1453
134	226	1452
135	228	1451
136	230	1450
137	233	1456
138	236	1462
139	239	1470
140	241	1469
141	243	1469
142	245	1468
143	247	1468
144	249	1470
145	251	1469
146	253	1469
147	255	1468
148	257	1468
149	259	1467
150	260	1466
151	262	1467
152	265	1468
153	267	1467
154	269	1467
155	271	1466
156	272	1465
157	274	1464
158	276	1464
159	278	1464
160	281	1464
161	283	1464
162	285	1464
163	287	1464
164	289	1463
165	290	1460
166	292	1459
167	294	1458
168	296	1457
169	298	1456
170	300	1455
171	302	1453
172	304	1453
173	305	1451
174	307	1450
175	309	1450
176	311	1449
177	313	1448
178	315	1445
179	317	1445
180	319	1444
181	321	1444
182	323	1444
183	325	1444
184	327	1444
185	329	1443
186	331	1440
187	333	1439
188	335	1437
189	337	1439
190	339	1438
191	341	1437
192	343	1437
193	345	1436
194	347	1435
195	350	1435
196	352	1435
197	354	1434
198	356	1433
199	358	1432
200	359	1430
201	362	1430
202	364	1429
203	365	1428
204	367	1426
205	370	1426
206	371	1424
207	373	1423
208	375	1422
209	377	1421
210	379	1420
211	381	1419
212	383	1418
213	385	1417
214	387	1416
215	390	1415
216	392	1414
217	394	1413
218	396	1413
219	398	1412
220	400	1411
221	402	1410
222	404	1408
223	406	1407
224	408	1407
225	410	1405
226	412	1404
227	414	1403
228	416	1403
229	418	1401
230	420	1401
231	423	1400
232	425	1399
233	427	1398
234	429	1398
235	431	1397
236	433	1395
237	435	1393
238	437	1392
239	439	1390
240	441	1389
241	443	1387
242	444	1385
243	446	1384
244	448	1382
245	450	1380
246	452	1379
247	454	1377
248	456	1377
249	458	1375
250	460	1373
251	462	1372
252	464	1370
253	466	1369
254	468	1369
255	470	1368
256	473	1367
257	475	1367
258	477	1365
259	479	1364
260	482	1366
261	484	1365
262	487	1365
263	489	1364
264	491	1362
265	493	1361
266	495	1360
267	497	1359
268	499	1358
269	501	1356
270	503	1354
271	505	1353
272	507	1352
273	509	1351
274	512	1349
275	514	1348
276	516	1347
277	518	1345
278	520	1344
279	522	1342
280	524	1341
281	526	1340
282	528	1339
283	530	1337
284	532	1336
285	534	1334
286	536	1332
287	538	1331
288	541	1331
289	543	1331
290	545	1330
291	548	1328
292	550	1328
293	569	1366
294	571	1365
295	573	1363
296	575	1361
297	577	1359
298	579	1357
299	581	1356
300	583	1354
301	585	1352
302	587	1350
303	589	1348
304	591	1346
305	593	1344
306	594	1342
307	596	1340
308	599	1339
309	600	1337
310	602	1335
311	604	1333
312	606	1331
313	608	1329
314	610	1327
315	612	1325
316	614	1324
317	616	1322
318	618	1320
319	620	1317
320	622	1315
321	624	1314
322	625	1312
323	627	1309
324	629	1307
325	631	1306
326	633	1304
327	635	1302
328	637	1300
329	639	1298
330	641	1296
331	643	1294
332	645	1292
333	647	1290
334	649	1288
335	651	1287
336	653	1285
337	655	1283
338	657	1281
339	659	1279
340	661	1278
